,product_name,price,skin_types
404,Lanolips Rose Gold 101 Ointment For Lips + Cheeks 9g,£13.00,dry
405,Frank Body Lip Balm Original 15ml,£6.95,"dry,sensitive"
407,Rituals The Ritual of Sakura Hand Balm 175ml,£9.90,"dry, sensitive"
408,Lanolips 101 Ointment Multi-Balm - Peach 10g,£8.99,dry
409,DECLÉOR Green Mandarin Night Balm 15ml,£35.00,"dry,sensitive"
410,Weleda Lip Balm (4.8g),£4.95,dry
412,Balance Me Cleanse and Smooth Face Balm 125ml,£16.00,"dry,sensitive"
413,First Aid Beauty Ultra Repair Intensive Lip Balm (10g),£16.00,"dry, sensitive"
414,Dr. PAWPAW Original Balm 100ml,£18.99,"dry,sensitive"
415,Dr Hauschka Lip Balm 4.5ml,£10.50,"dry, sensitive"
416,By Terry Baume de Rose Flaconnette 7ml,£32.50,dry
417,DECLÉOR Aromessence Magnolia Youthful Night Balm 15ml,£46.20,"dry, mature"
418,REN Rosa Centifolia No.1 Purity Cleansing Balm,£23.00,"dry,sensitive"
419,Dr. PAWPAW Hot Pink Balm 25ml,£6.95,"dry, sensitive"
420,Lanolips Tinted SPF30 Balm - Red Apple 12.5g,£8.99,dry
421,Spa Magik Organiks Wrinkle Therapy Moisture Melt Cleansing Balm 100ml,£14.95,"dry,sensitive"
422,Uriage Xémose Anti-Itch Soothing Oil Balm 500ml,£20.89,"dry, sensitive"
424,Jurlique Rose Love Balm (15ml),£12.00,"dry,sensitive"
425,Aurelia Probiotic Skincare Refine and Polish Miracle Balm 75ml,£45.60,"dry,sensitive"
426,Rituals The Ritual of Ayurveda Hand Balm 175ml,£9.90,"dry,sensitive"
428,Indeed Labs Watermelon Melting Balm 100ml,£24.99,dry
429,DECLÉOR Cica-Botanic Balm,£24.50,"dry,sensitive"
430,OSKIA Micro Exfoliating Balm - 50ml,£52.00,"dry,sensitive"
431,Laura Mercier Infusion de Rose Lip Balm 3.4g,£17.00,dry
432,Oh K! SOS Soothing Facial Balm 100ml,£8.00,"dry, sensitive"
433,By Terry Baume De Rose Nutri-Couleur Lip Balm 7g,£36.00,dry
434,MONU Recovery Balm (50ml),£32.00,"dry, sensitive"
436,Darphin Aromatic Cleansing Balm with Rosewood 125ml,£75.00,dry
437,Holika Holika Good Cera Super Ceramide Moisture Balm 40ml,£21.95,"dry,sensitive"
438,Garnier Organic Argan Rescue Balm 50ml,£9.99,dry
439,Menaji Lip Balm Agent (0.15oz./4.2g),£4.33,dry
441,The Ritual of Namasté Restoring Night Balm 50ml,£39.90,dry
442,yes to Cucumbers Exfoliating Cleansing Balm 120g,£9.99,"dry,sensitive"
443,Clinique Superbalm Lip Treatment 7ml,£14.00,"Dry, sensitive"
444,Alchimie Forever Dry Skin Balm,£17.85,dry
446,APIVITA Express Moisturizing & Soothing Face Mask - Prickly Pear 2x8ml,£5.50,"dry,sensitive"
447,PIXI PLUMP Collagen Boost Sheet Mask (Pack of 3),£10.00,"dry,sensitive"
448,Benton Aloe Soothing Mask Pack -1 Ea,£2.00,"dry,sensitive"
449,Holika Holika Pure Essence Mask Sheet - Cucumber,£1.95,"dry, sensitive"
450,Holika Holika Pure Essence Mask Sheet - Avocado,£1.95,"dry,sensitive"
451,Antipodes Aura Manuka Honey Mask 75ml,£26.99,dry
453,Holika Holika Pure Essence Mask Sheet - Pearl,£1.95,"dry,sensitive"
455,Garnier Hyaluronic Acid and Coconut Water Hydrating Replumping Eye Sheet Mask 6g,£2.99,"dry,sensitive"
456,Ambre Solaire After Sun Cooling Hyaluronic Acid Face Sheet Mask 32g,£2.50,"oily,dry,sensitive"
459,Garnier Moisture Bomb Camomile Hydrating Face Sheet Mask for Dry and Sensitive Skin 32g,£2.99,"dry,sensitive"
460,Holika Holika Pure Essence Mask Sheet - Strawberry,£1.95,"dry, sensitive"
462,APIVITA Express Intense Moisturizing Face Mask - Cucumber 2x8ml,£4.00,"dry,sensitive"
463,APIVITA Express Moisturizing Face Mask - Sea Lavender 2x8ml,£4.00,"dry,sensitive"
464,APIVITA Express Radiance Face Mask - Orange 2x8ml,£4.00,"dry,sensitive"
465,Holika Holika Pure Essence Mask Sheet - Damask Rose,£1.95,"dry,sensitive"
466,Garnier Moisture Bomb Lavender Hydrating Face Sheet Mask for Fatigued Skin 32g,£2.99,"dry, dehydrated"
467,Holika Holika Baby Silky Foot Mask Sheet,£3.95,"dry,normal"
469,Garnier Moisture Bomb Sakura Hydrating Face Sheet Mask for Dull Skin 32g,£2.99,dry
471,BeautyPro Brightening Collagen Sheet Mask with Vitamin C,£4.95,"dry,sensitive"
472,AHAVA Single Use 24K Gold Mineral Mud Mask 6ml,£2.36,"dry,sensitive"
474,First Aid Beauty Ultra Repair Instant Oatmeal Mask (56.7g),£20.00,"dry,sensitive"
475,Holika Holika Pure Essence Mask Sheet - Acai Berry,£1.95,"dry, sensitive"
477,Dermalogica Age Smart Multivitamin Power Recovery Masque 75ml,£44.55,"dry, mature"
478,Garnier Fresh-Mix Brightening Face Sheet Shot Mask with Vitamin C 33g,£3.99,"dry, sensitive"
479,Holika Holika Pure Essence Mask Sheet - Lemon,£1.95,"dry,sensitive"
480,APIVITA Express Radiance Face Mask - Pomegranate 2x8ml,£4.00,"dry,sensitive"
481,"Dear, Klairs Rich Moist Soothing Tencel Sheet Mask 25ml",£3.00,"dry,sensitive"
482,Clinique Moisture Surge Overnight Mask 100ml,£32.00,"dry, normal"
486,Garnier Fresh-Mix Replumping Face Sheet Shot Mask with Hyaluronic Acid 33g,£3.99,"normal, dry"
488,AHAVA Single Use Overnight Deep Wrinkle Mask 6ml,£2.36,dry
491,APIVITA Express Moisturizing Face Mask - Aloe 2 x 8ml,£4.00,"dry,sensitive"
