,product_name,price,skin_types
421,Spa Magik Organiks Wrinkle Therapy Moisture Melt Cleansing Balm 100ml,£14.95,"dry,sensitive"
422,Uriage Xémose Anti-Itch Soothing Oil Balm 500ml,£20.89,"dry, sensitive"
424,Jurlique Rose Love Balm (15ml),£12.00,"dry,sensitive"
425,Aurelia Probiotic Skincare Refine and Polish Miracle Balm 75ml,£45.60,"dry,sensitive"
426,Rituals The Ritual of Ayurveda Hand Balm 175ml,£9.90,"dry,sensitive"
429,DECLÉOR Cica-Botanic Balm,£24.50,"dry,sensitive"
430,OSKIA Micro Exfoliating Balm - 50ml,£52.00,"dry,sensitive"
432,Oh K! SOS Soothing Facial Balm 100ml,£8.00,"dry, sensitive"
434,MONU Recovery Balm (50ml),£32.00,"dry, sensitive"
435,Darphin Intral Redness Relief Recovery Balm,£48.00,sensitive
437,Holika Holika Good Cera Super Ceramide Moisture Balm 40ml,£21.95,"dry,sensitive"
442,yes to Cucumbers Exfoliating Cleansing Balm 120g,£9.99,"dry,sensitive"
443,Clinique Superbalm Lip Treatment 7ml,£14.00,"Dry, sensitive"
446,APIVITA Express Moisturizing & Soothing Face Mask - Prickly Pear 2x8ml,£5.50,"dry,sensitive"
447,PIXI PLUMP Collagen Boost Sheet Mask (Pack of 3),£10.00,"dry,sensitive"
448,Benton Aloe Soothing Mask Pack -1 Ea,£2.00,"dry,sensitive"
449,Holika Holika Pure Essence Mask Sheet - Cucumber,£1.95,"dry, sensitive"
450,Holika Holika Pure Essence Mask Sheet - Avocado,£1.95,"dry,sensitive"
453,Holika Holika Pure Essence Mask Sheet - Pearl,£1.95,"dry,sensitive"
455,Garnier Hyaluronic Acid and Coconut Water Hydrating Replumping Eye Sheet Mask 6g,£2.99,"dry,sensitive"
456,Ambre Solaire After Sun Cooling Hyaluronic Acid Face Sheet Mask 32g,£2.50,"oily,dry,sensitive"
458,NARS Cosmetics Aqua Gel Luminous Mask,£31.00,"combination, sensitive"
459,Garnier Moisture Bomb Camomile Hydrating Face Sheet Mask for Dry and Sensitive Skin 32g,£2.99,"dry,sensitive"
460,Holika Holika Pure Essence Mask Sheet - Strawberry,£1.95,"dry, sensitive"
462,APIVITA Express Intense Moisturizing Face Mask - Cucumber 2x8ml,£4.00,"dry,sensitive"
463,APIVITA Express Moisturizing Face Mask - Sea Lavender 2x8ml,£4.00,"dry,sensitive"
464,APIVITA Express Radiance Face Mask - Orange 2x8ml,£4.00,"dry,sensitive"
465,Holika Holika Pure Essence Mask Sheet - Damask Rose,£1.95,"dry,sensitive"
471,BeautyPro Brightening Collagen Sheet Mask with Vitamin C,£4.95,"dry,sensitive"
472,AHAVA Single Use 24K Gold Mineral Mud Mask 6ml,£2.36,"dry,sensitive"
473,APIVITA Express Detox Face Mask - Pumpkin 2x8ml,£4.00,"combination, sensitive"
474,First Aid Beauty Ultra Repair Instant Oatmeal Mask (56.7g),£20.00,"dry,sensitive"
475,Holika Holika Pure Essence Mask Sheet - Acai Berry,£1.95,"dry, sensitive"
478,Garnier Fresh-Mix Brightening Face Sheet Shot Mask with Vitamin C 33g,£3.99,"dry, sensitive"
479,Holika Holika Pure Essence Mask Sheet - Lemon,£1.95,"dry,sensitive"
480,APIVITA Express Radiance Face Mask - Pomegranate 2x8ml,£4.00,"dry,sensitive"
481,"Dear, Klairs Rich Moist Soothing Tencel Sheet Mask 25ml",£3.00,"dry,sensitive"
487,"Dear, Klairs Midnight Blue Calming Sheet Mask 25ml",£3.00,sensitive
491,APIVITA Express Moisturizing Face Mask - Aloe 2 x 8ml,£4.00,"dry,sensitive"
493,NIP+FAB Teen Skin Fix Salicylic Acid Sheet Mask,£5.50,"acne-prone,sensitive"
494,Neutrogena Hydro Boost Hydrogel Recovery Mask 30ml,£5.49,"dry, sensitive"
497,APIVITA Express Firming Face Mask - Royal Jelly 2x8ml,£5.50,"dry,sensitive"
499,Clinique Moisture Surge Overnight Mask 15ml,£7.00,"dry, sensitive"
504,Peter Thomas Roth Cucumber Gel Mask 14ml,£6.72,"oily,combination,sensitive"
506,COSRX Ultimate Nourishing Rice Overnight Spa Mask 60ml,£23.00,"dry, sensitive"
507,REN Clean Skincare Evercalm Ultra Comforting Rescue Mask,£32.00,"dry,sensitive"
508,Erno Laszlo Multi-Task Eye Serum Mask (6 Pack),£35.00,"dry,sensitive"
509,Holika Holika Baby Silky Hand Mask Sheet,£3.95,"dry, sensitive"
510,Avène Soothing Radiance Mask 50ml,£13.00,"dry,sensitive"
511,BARBER PRO Face Putty Black Peel-Off Mask with Activated Charcoal (3 Applications),£4.95,"oily, combination, sensitive"
514,Peter Thomas Roth Cucumber Gel Mask 150ml,£41.60,"oily,combination,sensitive"
515,Peter Thomas Roth Cucumber Hydra-Gel Eye Masks 60 masks,£41.00,"dry,sensitive"
516,APIVITA Express Moisturizing Face Mask - Honey 2x8ml,£4.00,"dry, sensitive"
518,Chantecaille Bio Lift Mask - 50ml,£148.00,"dry,sensitive"
519,Rodial Dragon's Blood Eye Mask Single,£6.00,"dry, sensitive"
520,BeautyPro CBD Oil Infused Sheet Mask 22ml,£5.95,"dry,sensitive"
522,Dr.Jart+ Cicapair Tiger Grass Calming Mask,£5.50,sensitive
523,Lancôme Génifique Hydrogel Sheet Mask (1 Mask),£16.20,"normal,sensitive"
524,Holika Holika Skin Rescuer Mask Sheet - Collagen,£3.95,"dry,sensitive"
532,NIOD Voicemail Masque 50ml,£30.00,"dry, sensitive"
538,Neutrogena Purifying Boost Hydrogel Recovery Mask 30ml,£3.99,"normal,dry,sensitive"
539,APIVITA Express Line Reducing Face Mask - Grape 2x8ml,£4.00,"dry,sensitive"
541,FOREO UFO Activated Masks - Make My Day (7 Pack),£9.99,"combination, dry, sensitive"
546,BeautyPro Nourishing Collagen Sheet Mask with Olive Extract,£4.95,"dry,sensitive"
547,Oh K! Chok Chok Smoothing Undereye Mask 2 x 1.5g,£4.25,"dry, sensitive"
549,BeautyPro THERMOTHERAPY Warming Gold Foil Mask 30g,£5.95,"dry,sensitive"
552,Chantecaille Jasmine & Lily Healing Mask,£75.00,"dry,sensitive"
556,Peter Thomas Roth Pumpkin Enzyme Mask 150ml,£50.00,"oily, combination, sensitive"
559,Shiseido Benefiance Pure Retinol Express Smoothing Eye Mask x 12 Sachets,£62.00,"dry,sensitive"
561,Holika Holika Skin Rescuer Mask Sheet - Vita C,£3.95,"dry,sensitive"
563,APIVITA Moisturizing Face Mask - Aloe 50ml,£12.30,"dry,sensitive"
564,Project Lip Mask,£3.95,"dry,sensitive"
565,AHAVA Uplifting & Firming Sheet Mask,£6.30,"normal,dry,sensitive"
573,AHAVA Single Use Facial Renewal Peel 8ml,£2.36,"normal,sensitive"
574,PIXI Peel and Polish,£24.00,"normal,dry,sensitive"
577,Peter Thomas Roth FirmX Peeling Gel 100ml,£40.00,"oily, combination, sensitive"
578,Murad Intensive-C Radiance Peel 50ml,£55.00,"combination, sensitive"
583,PIXI Hydrating Milky Peel 80ml,£24.00,"combination, sensitive"
587,Radical Skincare Express Delivery Enzyme Peel 50ml,£45.00,"oily, combination, sensitive"
595,Mavala Skin Vitality Beauty Enhancing Micro-Peel 65ml,£17.00,"normal,dry,sensitive"
601,CeraVe Eye Repair Cream 14ml,£12.00,"dry, sensitive"
603,Avène Soothing Eye Contour Cream 10ml,£10.00,"dry, sensitive"
606,La Roche-Posay Toleriane Ultra Eyes (20ml),£16.00,"dry,sensitive"
608,First Aid Beauty Skin Lab Retinol Eye Cream with Triple Hyaluronic Acid 15ml,£34.00,"dry,sensitive"
610,Clinique All About Eyes Eye Cream 15ml,£27.50,"dry, sensitive"
611,Clinique Moisture Surge Eye 96-Hour Hydro-Filler Concentrate 15ml,£27.50,"dry, sensitive"
612,VICHY Minéral 89 Eyes Hyaluronic Acid +Caffeine 15ml,£20.00,"dry,sensitive"
614,Liz Earle Eyebright Soothing Eye Lotion 150ml Bottle,£16.00,sensitive
615,PIXI Retinol Eye Cream 25ml,£22.00,"dry,sensitive"
619,La Roche-Posay Hydraphase Intense Eyes 15ml,£16.00,"Dry, sensitive"
620,Balance Me Wonder Eye Cream 15ml,£16.00,"Normal, dry, sensitive"
622,Fade Out Advanced Even Skin Tone Eye Defence Cream 15ml,£9.99,"oily,dry,combination,sensitive"
623,Estée Lauder Advanced Night Repair Matrix Synchronized Recovery Eye Concentrate 15ml,£44.10,"Dry,Sensitive"
625,DHC Revitalizing Moisture Strip: Eyes - 6 Applications,£9.00,"dry,sensitive"
626,Lancôme Advanced Génifique Eye Care 15ml,£39.15,"oily,dry,sensitive"
627,La Roche-Posay Hyalu B5 Eyes 15ml,£25.50,"dry, sensitive"
630,Medik8 Advanced Night Eye 15ml,£36.00,"oily,dry,sensitive,combination"
631,GLAMGLOW Bright Eyes Cream 15ml,£29.00,"dry,sensitive"
636,Avene Gentle Eye Make-Up Remover 125ml,£10.00,sensitive
637,REN Clean Skincare Keep Young and Beautiful Firm and Lift Eye Cream,£33.00,"normal,dry,sensitive"
638,L'Oréal Paris Gentle Eye Make-Up Remover 125ml,£3.49,"oily,combination,sensitive"
639,DECLÉOR Jasmine Eye Cream 15ml,£25.90,"Dry,Sensitive"
642,First Aid Beauty Eye Duty Triple Remedy Overnight Balm (15ml),£28.00,"dry, sensitive"
643,Lumene Nordic Hydra [Lähde] Purity Dew Drops Hydrating Eye Gel 15ml,£14.90,"dry, sensitive"
644,L'Oréal Paris Absolute Eye and Lip Make-Up Remover 125ml,£5.49,"dry,sensitive"
645,Elemis Peptide Eye Recovery Cream 15ml,£38.00,"dry,sensitive"
646,Goldfaden MD Bright Eyes Dark Circle Radiance Concentrate 15ml,£32.16,"dry,sensitive"
648,Clinique Pep Start Eye Cream 15ml,£24.00,"dry,sensitive"
653,VICHY Aqualia Thermal Eye Awakening Balm (15ml),£15.00,"dry, sensitive"
655,Medik8 Eyelift Peptides 15ml,£38.00,"dry, sensitive"
657,Dermalogica Total Eye Care 15ml,£40.50,"normal,dry,sensitive"
658,Dermalogica Intensive Eye Repair (15ml),£44.55,"dry,sensitive"
659,benefit It's Potent Brightening Eye Cream 14g,£29.00,"dry,sensitive"
