,product_name,price,skin_types
693,First Aid Beauty 5-in-1 Eye Cream (14.1ml),£26.00,"oily,combination,sensitive"
694,SkinCeuticals AOX+ Eye Gel 15ml,£77.00,"normal, combination"
696,Dr. Brandt No More Baggage 15g,£30.00,"oily,combination"
704,CeraVe Foaming Facial Cleanser 473ml,£15.00,"combination, sensitive"
709,La Roche-Posay Effaclar H Hydrating Cleansing Cream (200ml),£12.50,"oily,combination"
710,La Roche-Posay Effaclar Purifying Cleansing Gel 200ml,£12.50,"oily,combination"
711,La Roche-Posay Effaclar Cleansing Gel 400ml,£18.50,"oily,combination"
713,Clinique Take the Day off Cleansing Balm 30ml,£9.00,"oily,combination"
714,Clinique Liquid Facial Soap Mild 200ml,£17.50,"oily, combination"
715,Elemis Dynamic Resurfacing Facial Wash 200ml,£34.00,"oily,combination"
716,First Aid Beauty Face Cleanser (142g),£16.00,"oily,combination,sensitive"
718,Caudalie Duo Foaming Cleanser (2 x 150ml) (Worth £30),£22.00,"oily, combination"
721,Caudalie Vinopure Purifying Gel Cleanser 150ml,£16.00,"oily, combination"
722,Bulldog Original Face Wash 150ml,£3.38,"oily,combination"
723,Neutrogena Hydro Boost Water Gel Cleanser 200ml,£7.99,"oily, combination"
725,NIP+FAB Teen Skin Fix Pore Blaster Night Wash 145ml,£6.99,"oily, combination"
726,Elemis Superfood Cleansing Wash 150ml,£25.00,"oily,combination,normal"
727,Bioderma Hybrabio H2O 500ml Duo Pack,£18.50,"oily, combination"
728,La Roche-Posay Toleriane Dermo-Cleanser 200ml,£12.50,"oily, combination, sensitive"
729,Liz Earle Cleanse & Polish 200ml Tube,£27.00,"oily, combination, sensitive"
730,Origins Checks and Balances Frothy Face Wash 150ml,£16.50,"oily,combination"
732,Avene Face Essentials Cleansing Foam 150ml,£13.50,"oily,combination"
734,Neutrogena® Oil Balancing Facial Wash 200ml,£4.71,"oily, combination"
737,REN Clean Skincare Rosa Centifolia Cleansing Gel,£18.00,"oily, combination"
738,Dr Dennis Gross Alpha Beta Pore Perfecting Cleansing Gel 60ml,£17.00,"oily,combination"
739,La Roche-Posay Cicaplast B5 Anti-Bacterial Cleansing Wash 200ml,£10.00,"oily,combination,acne-prone"
740,Caudalie Instant Foaming Cleanser (150ml),£15.00,"oily,combination"
741,COSRX Low pH Good Morning Cleanser 150ml,£17.00,"oily,combination"
742,Aesop Amazing Face Cleanser 200ml,£35.00,"oily, combination"
743,philosophy Purity One-Step Facial Cleanser 480ml,£30.00,"oily, combination, sensitive"
747,Clinique Rinse-Off Foaming Cleanser 150ml,£17.50,"oily,combination,normal"
752,Clinique for Men Face Wash 200ml,£16.50,"oily,combination."
758,Bulldog Original 2-in-1 Beard Shampoo and Conditioner 200ml,£4.50,"oily, combination"
759,La Roche-Posay Effaclar Micellar Water 200ml,£12.50,"oily,combination,acne-prone"
760,Murad Age Reform Aha/Bha Exfoliating Cleanser (200ml),£38.00,"oily, combination"
761,Elemis Balancing Lime Blossom Cleanser 200ml,£25.00,"oily,combination"
762,PIXI Glow Tonic Cleansing Gel 135ml,£18.00,"oily,combination"
763,Medik8 Pore Cleanse Gel Intense 150ml,£21.00,"oily,combination"
765,bareMinerals Clay Chameleon Transforming Purifying Cleanser 120g,£11.40,"oily, combination"
766,Caudalie Micellar Cleansing Water 400ml,£19.00,"oily,combination,sensitive"
767,Garnier Pure Active 3in1 Charcoal Blackhead Mask Wash Scrub 150ml,£4.99,"oily, combination"
768,PIXI Vitamin-C Juice Cleanser 150ml,£18.00,"oily,combination"
771,PIXI Glow Mud Cleanser 135ml,£18.00,"oily,combination"
772,La Roche-Posay Toleriane Foaming Gel Cleanser 150ml,£12.50,"oily, combination, sensitive"
773,Garnier Vitamin Enriched Cleansing Wipes (25 Pack),£2.69,"combination, sensitive"
774,Clinique for Men Charcoal Face Wash 200ml,£18.00,"oily,combination"
776,Lancôme Gel Eclat Express Clarfying Self-Foaming Cleanser 125ml,£22.05,"oily,combination"
777,philosophy Purity One-Step Facial Cleanser 240ml,£19.00,"oily,combination,normal"
778,Bulldog Energising Face Wash 150ml,£3.38,"oily,combination"
782,Filorga Foam Cleanser 150ml,£20.00,"oily,combination"
783,Estée Lauder Nutritious Super-Pomegranate Radiant Energy 2-In-1 Cleansing Foam 125ml,£23.40,"oily, combination"
784,Garnier Micellar Water Oil Infused Facial Cleanser and Makeup Remover 400ml,£5.99,"combination, sensitive"
785,Omorovicza Cleansing Foam Duo,£73.00,"normal,combination"
786,VICHY Purete Thermale Fresh Cleansing Gel 200ml,£12.00,"oily,combination"
787,Garnier Micellar Water Facial Cleanser and Makeup Remover for Combination Skin 400ml,£4.99,Combination
789,Origins GinZing Refreshing Scrub Cleanser 150ml,£17.50,"oily, normal, combination"
